t,value
1685319750,9223372036854775807
1685319780,9223372036854775807
1685319810,9223372036854775807
1685319840,9223372036854775807
1685319870,9223372036854775807
1685319900,9223372036854775807
1685319930,9223372036854775807
1685320110,9223372036854775807
1685320140,9223372036854775807
1685320170,9223372036854775807
1685320200,9223372036854775807
1685320230,9223372036854775807
1685320260,9223372036854775807
1685320290,9223372036854775807
1685320320,9223372036854775807
1685320350,9223372036854775807
1685320380,9223372036854775807
1685320410,9223372036854775807
1685320440,9223372036854775807
1685320470,9223372036854775807
1685320500,9223372036854775807
1685320530,9223372036854775807
1685320560,9223372036854775807
1685320590,9223372036854775807
1685320620,9223372036854775807
1685320650,9223372036854775807
1685320680,9223372036854775807
1685320710,9223372036854775807
1685320740,9223372036854775807
1685320770,9223372036854775807
1685320800,9223372036854775807
1685320830,9223372036854775807
1685320860,9223372036854775807
1685320890,9223372036854775807
1685320920,9223372036854775807
1685320950,9223372036854775807
1685320980,9223372036854775807
1685321010,9223372036854775807
1685321040,9223372036854775807
1685321070,9223372036854775807
1685321100,9223372036854775807
1685321130,9223372036854775807
1685330370,9223372036854775807
1685330400,9223372036854775807
1685330430,9223372036854775807
1685330460,9223372036854775807
1685330490,9223372036854775807
1685330520,9223372036854775807
1685330550,9223372036854775807
1685330580,9223372036854775807
1685330610,9223372036854775807
1685330640,9223372036854775807
1685330670,9223372036854775807
1685330700,9223372036854775807
1685330730,9223372036854775807
1685330760,9223372036854775807
1685330790,9223372036854775807
1685330820,9223372036854775807
1685330850,9223372036854775807
1685330880,9223372036854775807
1685330910,9223372036854775807
1685330940,9223372036854775807
1685330970,9223372036854775807
1685331000,9223372036854775807
1685331030,9223372036854775807
1685331060,9223372036854775807
1685331090,9223372036854775807
1685331120,9223372036854775807
1685331150,9223372036854775807
1685331180,9223372036854775807
1685331210,9223372036854775807
1685331240,9223372036854775807
1685331270,9223372036854775807
1685331301,9223372036854775807
1685331331,9223372036854775807
1685331361,9223372036854775807
1685331391,9223372036854775807
1685331421,9223372036854775807
1685331451,9223372036854775807
1685331481,9223372036854775807
1685331511,9223372036854775807
1685331541,9223372036854775807
1685331571,9223372036854775807
1685331601,9223372036854775807
1685331631,9223372036854775807
1685331661,9223372036854775807
1685331691,9223372036854775807
1685331721,9223372036854775807
1685331751,9223372036854775807
1685331781,9223372036854775807
1685331811,9223372036854775807
1685331841,9223372036854775807
1685331871,9223372036854775807
1685331901,9223372036854775807
1685331931,9223372036854775807
1685331961,9223372036854775807
1685331991,9223372036854775807
1685332021,9223372036854775807
1685332051,9223372036854775807
1685332081,9223372036854775807
1685332111,9223372036854775807
1685332141,9223372036854775807
1685332171,9223372036854775807
1685332201,9223372036854775807
1685332231,9223372036854775807
1685332261,9223372036854775807
1685332291,9223372036854775807
