t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319780,4,0.088584,0.000000,0.000000,0.000000,events/second
1685319810,6,0.079813,0.000000,0.000000,0.000000,events/second
1685319840,10,0.095062,0.000000,0.000000,0.000000,events/second
1685319870,12,0.088749,0.000000,0.000000,0.000000,events/second
1685319900,16,0.096835,0.000000,0.000000,0.000000,events/second
1685319930,20,0.102436,0.000000,0.000000,0.000000,events/second
1685320110,3,0.092478,0.000000,0.000000,0.000000,events/second
1685320140,11,0.175605,0.000000,0.000000,0.000000,events/second
1685320170,15,0.161886,0.000000,0.000000,0.000000,events/second
1685320200,23,0.187486,0.000000,0.000000,0.000000,events/second
1685320230,28,0.183371,0.000000,0.000000,0.000000,events/second
1685320260,38,0.207983,0.000000,0.000000,0.000000,events/second
1685320290,41,0.192743,0.000000,0.000000,0.000000,events/second
1685320320,49,0.201873,0.000000,0.000000,0.000000,events/second
1685320350,52,0.190655,0.000000,0.000000,0.000000,events/second
1685320380,58,0.191572,0.000000,0.000000,0.000000,events/second
1685320410,63,0.189319,0.000000,0.000000,0.000000,events/second
1685320440,79,0.217764,0.000000,0.000000,0.000000,events/second
1685320470,83,0.211305,0.000000,0.000000,0.000000,events/second
1685320500,91,0.215231,0.000000,0.000000,0.000000,events/second
1685320530,95,0.209800,0.000000,0.000000,0.000000,events/second
1685320560,104,0.215398,0.000000,0.000000,0.000000,events/second
1685320590,112,0.218391,0.000000,0.000000,0.000000,events/second
1685320620,119,0.219210,0.000000,0.000000,0.000000,events/second
1685320650,123,0.214706,0.000000,0.000000,0.000000,events/second
1685320680,130,0.215626,0.000000,0.000000,0.000000,events/second
1685320710,134,0.211721,0.000000,0.000000,0.000000,events/second
1685320740,141,0.212692,0.000000,0.000000,0.000000,events/second
1685320770,145,0.209252,0.000000,0.000000,0.000000,events/second
1685320800,153,0.211629,0.000000,0.000000,0.000000,events/second
1685320830,157,0.208507,0.000000,0.000000,0.000000,events/second
1685320860,165,0.210733,0.000000,0.000000,0.000000,events/second
1685320890,169,0.207873,0.000000,0.000000,0.000000,events/second
1685320920,177,0.209962,0.000000,0.000000,0.000000,events/second
1685320950,188,0.215345,0.000000,0.000000,0.000000,events/second
1685320980,199,0.220368,0.000000,0.000000,0.000000,events/second
1685321010,222,0.237928,0.000000,0.000000,0.000000,events/second
1685321040,235,0.244012,0.000000,0.000000,0.000000,events/second
1685321070,239,0.240666,0.000000,0.000000,0.000000,events/second
1685321100,247,0.241427,0.000000,0.000000,0.000000,events/second
1685321130,253,0.240245,0.000000,0.000000,0.000000,events/second
1685330370,0,0.000000,0.000000,0.000000,0.000000,events/second
